aX,aY,aZ
-0.086,1.154,1.319
-0.112,1.329,1.252
-0.169,1.488,1.206
-0.202,1.568,1.092
-0.289,1.654,1.029
-0.34,1.695,0.878
-0.417,1.723,0.79
-0.424,1.626,0.363
-0.407,1.597,0.205
-0.346,1.574,0.144
-0.305,1.58,0.027
-0.239,1.602,-0.043
-0.213,1.6,-0.208
-0.15,1.562,-0.278
-0.099,1.48,-0.395
0.052,1.428,-0.456
0.137,1.276,-0.602
0.309,1.16,-0.744
0.456,0.861,-0.8
0.526,0.705,-0.834
0.662,0.431,-0.804
0.731,0.311,-0.692
0.797,0.042,-0.621
0.801,-0.262,-0.383
0.708,-0.523,-0.252
0.634,-1.044,0.094
0.37,-1.032,0.308
0.186,-1.347,0.72
-0.124,-1.589,1.354
-0.332,-2.06,1.748
-0.386,-2.178,2.603
-0.443,-2.427,2.942
-0.46,-2.502,3.455
-0.519,-2.425,3.793
-0.564,-2.056,3.933
-0.571,-1.679,4.139
-0.619,-1.484,4.269
-0.653,-1.238,4.317
-0.697,-1.163,4.026
-0.748,-1.121,3.854
-0.796,-1.141,3.558
-0.815,-1.16,3.328
-0.737,-1.17,2.71
-0.366,-1.14,1.969
-0.425,-1.199,1.723
-0.23,-1.118,1.318
0.017,-1.103,1.025
0,-0.924,0.529
0.002,-0.808,0.282
0.045,-0.701,0.181
0.071,-0.664,0.009
0.146,-0.57,-0.042
0.219,-0.397,-0.087
0.371,-0.431,-0.08
0.442,-0.308,-0.049
0.525,-0.246,-0.03
0.6,-0.167,0.024
0.623,-0.142,0.093
0.64,-0.113,0.134
0.635,-0.108,0.226
0.606,-0.124,0.272
0.582,-0.133,0.373
0.531,-0.15,0.43
0.512,-0.166,0.567
0.481,-0.165,0.643
0.47,-0.153,0.807
0.446,-0.153,0.965
0.414,-0.151,1.043
0.402,-0.14,1.178
0.386,-0.106,1.232
0.383,-0.087,1.313
0.375,-0.065,1.341
0.372,-0.069,1.368
0.356,-0.073,1.372
0.352,-0.086,1.379
0.338,-0.092,1.364
0.326,-0.101,1.347
0.326,-0.101,1.308
0.338,-0.093,1.286
0.337,-0.089,1.221
0.326,-0.054,1.183
0.318,-0.03,1.122
0.303,-0.019,1.102
0.302,-0.002,1.084
0.296,-0.001,1.062
0.285,0.002,1.041
0.266,-0.002,1.036
0.242,-0.013,1.032
0.229,-0.016,1.029
0.195,-0.013,1.021
0.174,-0.007,1.001
0.124,0,0.988
0.103,0,0.959
0.076,-0.002,0.939
0.072,-0.004,0.902
0.084,0,0.887
0.093,0.021,0.859
0.129,0.028,0.847
0.149,0.041,0.828
0.188,0.046,0.831
0.199,0.048,0.826
0.213,0.046,0.834
0.221,0.051,0.864
0.254,0.05,0.89
0.268,0.045,0.932
0.284,0.048,0.963
0.285,0.049,0.974
0.277,0.046,1.002
0.249,0.039,1.015
0.236,0.039,1.042
0.204,0.028,1.053
0.188,0.021,1.074
0.158,0.007,1.082
0.143,0.001,1.089
-0.284,0.749,1.181
-0.351,0.832,1.206
-0.497,0.871,1.217
-0.708,0.987,1.25
-0.75,1.085,1.256
-0.871,1.255,1.254
-0.781,1.212,1.274
-0.893,1.536,1.281
-0.973,1.736,1.3
-1.006,2.115,1.308
-0.974,2.45,1.223
-0.777,2.539,1.136
-0.631,2.614,0.855
-0.293,2.594,0.656
0.046,2.513,0.163
0.195,2.457,-0.448
0.382,2.35,-0.762
0.592,2.19,-1.183
0.634,2.103,-1.36
0.593,1.66,-1.636
0.578,1.475,-1.683
0.567,0.996,-1.646
0.598,0.099,-1.248
0.598,-0.448,-0.945
0.613,-1.975,-0.23
0.641,-2.755,0.107
0.624,-3.77,1.339
0.579,-3.733,4.221
0.301,-3.585,4.967
-0.348,-3.008,5.076
-0.647,-2.673,4.914
-1.023,-1.965,4.745
-1.07,-1.641,4.197
-0.762,-1.647,3.556
-0.14,-1.904,3.248
0.087,-2.123,2.687
0.136,-2.05,2.376
-0.049,-1.995,1.733
-0.113,-1.877,1.438
0.064,-1.753,1.31
0.185,-1.622,0.947
0.241,-1.265,0.778
0.237,-1.103,0.465
0.253,-0.859,0.317
0.273,-0.76,0.064
0.319,-0.55,0.012
0.364,-0.3,-0.075
0.483,-0.225,-0.147
0.623,-0.093,-0.183
0.671,0,-0.184
0.718,0.218,-0.162
0.738,0.344,-0.113
0.798,0.384,-0.074
0.835,0.425,0.05
0.889,0.42,0.132
0.899,0.367,0.327
0.885,0.33,0.427
0.864,0.258,0.612
0.799,0.225,0.697
0.762,0.158,0.851
0.688,0.116,0.914
0.648,0.046,0.996
0.562,0.023,1.02
0.515,-0.005,1.043
0.422,-0.018,1.043
0.34,-0.027,1.032
0.309,-0.029,1.018
0.256,-0.033,1.015
0.229,-0.039,1.017
0.18,-0.045,1.024
0.162,-0.058,1.056
0.14,-0.072,1.078
0.134,-0.102,1.124
0.124,-0.108,1.147
0.135,-0.098,1.187
0.149,-0.086,1.213
0.171,-0.071,1.215
0.176,-0.066,1.206
0.17,-0.059,1.196
0.164,-0.053,1.17
0.154,-0.05,1.158
0.153,-0.047,1.12
0.162,-0.034,1.096
0.168,-0.017,1.042
0.169,-0.017,1
0.165,-0.038,0.986
0.16,-0.045,0.975
0.151,-0.051,0.974
0.147,-0.059,0.975
0.141,-0.061,0.981
0.137,-0.067,0.998
0.133,-0.07,1.004
0.001,-0.076,1.01
0.111,-0.083,1.012
0.093,-0.114,1.01
0.085,-0.133,1.011
0.07,-0.174,1.012
0.061,-0.236,1.027
0.038,-0.274,1.043
0.03,-0.347,1.106
0.014,-0.367,1.136
0.013,-0.385,1.202
0.035,-0.391,1.361
0.045,-0.38,1.281
0.065,-0.366,1.327
0.067,-0.339,1.33
0.062,-0.327,1.324
0.066,-0.304,1.323
0.077,-0.297,1.316
0.115,-0.295,1.312
0.133,-0.298,1.281
0.157,-0.298,1.261
0.165,-0.293,1.22
0.183,-0.28,1.183
0.218,-0.247,1.163
0.237,-0.232,1.118
0.275,-0.193,1.087
0.293,-0.137,1.03
0.325,-0.106,1.004
-0.377,0.649,1.099
-0.398,0.714,1.134
-0.445,0.873,1.153
-0.468,1.043,1.159
-0.563,1.124,1.151
-0.61,1.294,1.146
-0.702,1.373,1.14
-0.759,1.559,1.131
-0.787,1.643,1.089
-0.85,1.793,1.053
-0.876,1.878,0.962
-0.902,1.908,0.852
-0.873,1.982,0.778
-0.827,2.018,0.616
-0.709,2.097,0.517
-0.651,2.135,0.259
-0.535,2.153,0.109
-0.458,2.007,-0.225
-0.263,2.038,-0.379
-0.135,1.927,-0.626
0.124,1.846,-0.815
0.357,1.636,-0.874
0.449,1.507,-0.789
0.638,1.202,-0.652
0.714,1.028,-0.318
0.912,0.658,-0.106
0.975,0.323,0.216
0.909,0.187,0.361
0.911,-0.217,0.758
0.876,-0.357,0.992
0.626,-0.705,1.132
0.535,-0.907,1.393
0.387,-1.395,1.544
0.283,-1.646,1.814
0.01,-1.984,1.885
-0.23,-2.313,1.686
-0.222,-2.401,1.935
-0.142,-2.608,2.352
-0.196,-2.492,2.991
-0.403,-2.603,3.296
-0.563,-2.701,3.481
-0.608,-2.695,3.765
-0.715,-2.635,3.926
-0.841,-2.444,4.179
-1.003,-2.376,3.981
-0.887,-2.175,3.741
-0.779,-1.945,2.988
-0.538,-1.842,2.566
-0.435,-1.53,1.799
-0.215,-1.344,1.133
-0.033,-0.977,0.829
0.049,-0.693,0.372
0.059,-0.608,0.162
0.013,-0.428,-0.073
0.488,-0.089,0.123
0.771,0.001,0.242
0.893,0.123,0.263
0.884,0.148,0.266
0.83,0.168,0.285
0.803,0.185,0.33
0.807,0.213,0.355
0.837,0.215,0.426
0.886,0.223,0.473
0.889,0.217,0.579
0.872,0.186,0.628
0.853,0.163,0.711
0.787,0.102,0.739
0.744,0.052,0.785
0.659,0.036,0.799
0.622,-0.009,0.797
0.571,-0.044,0.796
0.543,-0.113,0.795
0.469,-0.136,0.798
0.402,-0.198,0.8
0.369,-0.229,0.833
0.301,-0.267,0.856
0.263,-0.281,0.911
0.21,-0.3,0.936
0.194,-0.311,0.99
0.179,-0.315,1.018
0.176,-0.314,1.066
0.166,-0.304,1.11
0.183,-0.251,1.133
0.195,-0.22,1.173
0.208,-0.18,1.194
0.207,-0.165,1.227
0.208,-0.151,1.242
0.216,-0.124,1.269
0.244,-0.113,1.275
0.258,-0.074,1.269
0.282,-0.053,1.225
0.297,-0.007,1.194
0.298,0.014,1.115
0.286,0.043,1.073
0.282,0.057,0.993
0.283,0.079,0.958
0.285,0.093,0.894
0.286,0.106,0.874
0.285,0.11,0.852
0.273,0.099,0.85
0.26,0.087,0.86
0.233,0.067,0.878
0.212,0.02,0.918
0.167,-0.013,0.942
0.145,-0.052,0.995
0.113,-0.059,1.019
0.102,-0.073,1.067
0.075,-0.083,1.085
0.06,-0.081,1.1
0.056,-0.079,1.105
0.05,-0.068,1.101
0.048,-0.055,1.086
0.041,-0.053,1.074
0.032,-0.053,1.046
0.02,-0.05,1.032
0.017,-0.047,0.997
0.028,-0.047,0.993
0.024,-0.06,0.978
0.02,-0.073,0.963
-0.37,0.567,1.256
-0.396,0.659,1.271
-0.417,0.817,1.289
-0.481,0.89,1.29
-0.526,1.072,1.293
-0.611,1.178,1.298
-0.688,1.415,1.299
-0.765,1.507,1.29
-0.895,1.764,1.288
-0.936,1.975,1.174
-1.059,2.072,1.089
-1.061,2.274,0.933
-1.01,2.297,0.715
-0.86,2.259,0.62
-0.806,2.193,0.222
-0.573,2.167,-0.003
-0.41,2.105,-0.381
-0.146,2.104,-0.583
0.161,2.015,-0.944
0.323,1.958,-1.193
0.665,1.795,-1.215
0.797,1.667,-1.174
0.918,1.349,-1.205
0.958,0.79,-1.098
1.113,0.606,-0.883
1.439,0.28,-0.392
1.438,-0.024,-0.572
1.233,-0.661,-0.391
0.942,-1.893,1.279
0.305,-1.972,3.075
-0.23,-2.153,3.77
-0.305,-2.642,4.65
-0.426,-3.897,4.934
-0.521,-3.977,5.497
-0.519,-3.612,5.823
-0.441,-2.564,5.686
-0.428,-2.09,5.059
-0.35,-1.322,4.777
-0.293,-0.95,4.216
-0.202,-0.877,3.894
-0.118,-0.974,3.056
0.182,-1.005,2.409
0.621,-1.163,1.93
0.761,-1.155,1.131
0.701,-0.958,0.691
0.581,-0.818,-0.074
0.368,-0.668,-0.374
0.331,-0.589,-0.723
0.362,-0.567,-0.805
0.432,-0.503,-0.856
0.45,-0.425,-0.785
0.592,0.023,-0.583
0.634,0.086,-0.376
0.688,0.102,-0.242
0.697,0.069,0.023
0.705,0.062,0.141
0.711,0.07,0.346
0.733,0.089,0.429
0.742,0.149,0.554
0.745,0.176,0.596
0.733,0.189,0.663
0.69,0.182,0.698
0.66,0.153,0.769
0.589,0.127,0.809
0.551,0.049,0.896
0.484,0.006,0.946
0.447,-0.057,1.043
0.369,-0.078,1.138
0.287,-0.107,1.177
0.249,-0.12,1.235
0.169,-0.14,1.255
0.133,-0.17,1.297
0.074,-0.181,1.308
0.053,-0.191,1.306
0.021,-0.19,1.28
0.014,-0.189,1.269
0.017,-0.19,1.253
0.026,-0.196,1.245
0.033,-0.196,1.239
0.062,-0.188,1.246
0.088,-0.169,1.32
0.087,-0.163,1.309
0.075,-0.117,1.283
0.072,-0.096,1.258
0.107,-0.059,1.249
0.13,-0.048,1.229
0.161,-0.035,1.223
0.164,-0.036,1.206
0.148,-0.043,1.197
0.137,-0.05,1.162
0.113,-0.06,1.141
0.099,-0.061,1.082
0.078,-0.061,1.049
0.069,-0.072,0.998
0.055,-0.079,0.987
0.048,-0.087,0.975
0.037,-0.086,0.968
0.037,-0.082,0.956
0.039,-0.08,0.95
0.045,-0.07,0.948
0.045,-0.07,0.949
0.043,-0.068,0.955
0.045,-0.074,0.977
0.052,-0.082,0.991
0.052,-0.108,1.024
0.048,-0.12,1.048
0.048,-0.136,1.096
0.058,-0.137,1.133
0.069,-0.125,1.149
0.074,-0.12,1.172
0.068,-0.118,1.175
0.057,-0.113,1.185
0.045,-0.078,1.19
0.041,-0.056,1.16
0.022,-0.05,1.109
0.015,-0.038,1.089
0.023,-0.035,1.049
0.033,-0.044,1.031
0.04,-0.041,1.015
0.097,0.377,1.54
0.079,0.342,1.467
0.056,0.281,1.195
-0.002,0.187,1.092
-0.026,0.179,1.018
-0.047,0.204,1.022
-0.048,0.223,1.056
-0.032,0.215,1.067
