aX,aY,aZ
0.43,-0.049,1.203
0.407,-0.065,1.118
0.367,-0.047,1.089
0.333,-0.028,1.052
0.25,0.018,1.027
0.213,0.036,0.991
0.17,0.047,0.98
0.158,0.041,0.951
0.13,0.014,0.935
0.135,0.009,0.916
0.177,0.012,0.919
0.188,0.022,0.929
0.192,0.031,0.937
0.187,0.061,0.964
0.184,0.042,0.965
0.202,0.038,0.964
0.212,0.023,0.968
0.213,0.006,0.969
0.216,0,0.994
0.224,0.016,1.01
0.226,0.048,1.017
0.228,0.044,1.017
0.23,0.077,1.037
0.247,0.09,1.048
0.253,0.101,1.04
0.257,0.117,1.036
0.254,0.126,1.061
0.243,0.141,1.074
0.249,0.152,1.089
0.254,0.15,1.098
0.253,0.134,1.119
0.248,0.123,1.122
0.243,0.119,1.13
0.229,0.124,1.139
0.223,0.127,1.155
0.213,0.142,1.156
0.213,0.157,1.158
0.213,0.17,1.16
0.216,0.189,1.169
0.233,0.203,1.171
0.246,0.23,1.187
0.273,0.239,1.195
0.276,0.265,1.201
0.283,0.272,1.204
0.288,0.289,1.209
0.297,0.293,1.207
0.3,0.302,1.201
0.306,0.302,1.204
0.308,0.304,1.203
0.303,0.3,1.19
0.301,0.274,1.186
0.293,0.249,1.193
0.275,0.146,1.168
0.264,0.119,1.189
0.223,0.205,1.172
0.119,0.241,1.178
0.081,0.267,1.173
0.034,0.265,1.173
0.006,0.232,1.151
-0.082,0.184,1.116
-0.123,0.151,1.055
-0.069,0.154,1.093
-0.022,0.158,1.167
-0.034,0.193,1.025
0.107,0.214,1.128
0.101,0.244,1.108
0.247,0.367,1.076
0.159,0.385,1.065
0.161,0.409,1.057
0.159,0.424,1.063
0.203,0.435,1.096
0.259,0.468,1.045
0.232,0.479,1.006
0.219,0.48,0.971
0.244,0.508,0.966
0.257,0.51,0.958
0.237,0.464,0.955
0.207,0.467,0.947
0.138,0.437,0.937
0.122,0.405,0.945
0.146,0.334,0.95
0.144,0.317,0.932
0.137,0.292,0.92
0.146,0.293,0.913
0.2,0.305,0.914
0.244,0.382,0.891
0.262,0.451,0.874
0.285,0.492,0.857
0.304,0.571,0.839
0.346,0.605,0.821
0.365,0.663,0.777
0.37,0.687,0.741
0.368,0.724,0.667
0.349,0.735,0.628
0.344,0.762,0.556
0.325,0.772,0.517
0.312,0.775,0.447
0.304,0.772,0.42
0.3,0.747,0.359
0.297,0.747,0.34
0.291,0.73,0.313
0.281,0.727,0.312
0.286,0.735,0.344
0.301,0.742,0.363
0.315,0.741,0.4
0.347,0.743,0.41
0.355,0.752,0.402
0.391,0.775,0.395
0.418,0.843,0.383
0.438,0.869,0.377
0.435,0.895,0.358
0.425,0.904,0.357
1.238,-0.061,-0.736
1.272,-0.065,-0.738
1.293,-0.077,-0.734
1.345,-0.08,-0.721
1.392,-0.088,-0.713
1.414,-0.097,-0.689
1.446,-0.105,-0.673
1.446,-0.105,-0.647
1.427,-0.105,-0.634
1.411,-0.101,-0.618
1.385,-0.093,-0.615
1.365,-0.08,-0.606
1.362,-0.089,-0.577
1.372,-0.098,-0.553
1.38,-0.109,-0.49
1.403,-0.117,-0.452
1.416,-0.146,-0.375
1.415,-0.166,-0.294
1.39,-0.203,-0.257
1.364,-0.208,-0.192
1.284,-0.206,-0.168
1.24,-0.171,-0.14
1.158,-0.146,-0.137
1.125,-0.11,-0.129
1.057,-0.104,-0.122
0.975,-0.098,-0.117
0.943,-0.091,-0.1
0.892,-0.081,-0.097
0.874,-0.065,-0.091
0.836,-0.062,-0.081
0.82,-0.052,-0.059
0.792,-0.045,-0.047
0.776,-0.035,-0.033
0.771,-0.034,-0.023
0.761,-0.038,-0.015
0.758,-0.036,-0.008
0.752,-0.029,-0.009
0.749,-0.027,-0.026
0.741,-0.026,-0.041
0.726,-0.032,-0.086
0.715,-0.026,-0.148
0.719,-0.019,-0.215
0.72,-0.011,-0.251
0.682,-0.02,-0.319
0.729,0.029,-0.328
0.758,0.028,-0.381
0.765,0.009,-0.402
0.771,-0.036,-0.42
0.79,-0.053,-0.429
0.799,-0.075,-0.45
0.802,-0.087,-0.482
0.81,-0.118,-0.487
0.823,-0.137,-0.489
0.846,-0.143,-0.497
0.861,-0.125,-0.511
0.881,-0.131,-0.511
0.899,-0.152,-0.505
0.987,-0.208,-0.491
1.008,-0.228,-0.476
1.035,-0.261,-0.474
1.038,-0.269,-0.472
1.04,-0.289,-0.47
1.025,-0.347,-0.45
1.002,-0.33,-0.453
1.027,-0.345,-0.466
1.052,-0.356,-0.474
1.023,-0.366,-0.48
1,-0.375,-0.481
0.962,-0.393,-0.48
0.944,-0.401,-0.489
0.926,-0.409,-0.493
0.921,-0.429,-0.5
0.914,-0.433,-0.496
0.901,-0.439,-0.492
0.9,-0.444,-0.474
0.9,-0.438,-0.463
0.905,-0.441,-0.44
0.914,-0.443,-0.427
0.914,-0.443,-0.396
0.908,-0.439,-0.366
0.887,-0.432,-0.352
0.881,-0.428,-0.327
0.882,-0.42,-0.315
0.882,-0.404,-0.304
0.884,-0.394,-0.302
0.884,-0.372,-0.309
0.889,-0.364,-0.322
0.898,-0.345,-0.329
0.902,-0.341,-0.346
0.909,-0.333,-0.355
0.913,-0.328,-0.373
0.922,-0.311,-0.378
0.927,-0.291,-0.395
0.935,-0.281,-0.401
0.944,-0.259,-0.403
0.96,-0.25,-0.395
0.982,-0.234,-0.394
0.994,-0.227,-0.382
1.01,-0.217,-0.373
1.013,-0.219,-0.355
1.017,-0.224,-0.348
1.016,-0.228,-0.343
1.012,-0.225,-0.345
1.004,-0.225,-0.359
1.002,-0.224,-0.393
0.994,-0.216,-0.41
0.988,-0.21,-0.452
0.976,-0.202,-0.471
0.973,-0.19,-0.509
0.965,-0.183,-0.522
0.963,-0.175,-0.542
0.954,-0.174,-0.559
0.939,-0.179,-0.56
0.933,-0.181,-0.561
0.915,-0.18,-0.563
0.913,-0.177,-0.556
0.905,-0.176,-0.552
0.901,-0.176,-0.548
0.893,-0.177,-0.538
0.404,0.578,1.038
0.439,0.566,1.041
0.463,0.55,1.062
0.516,0.527,1.078
0.541,0.522,1.118
0.594,0.512,1.139
0.625,0.516,1.169
0.644,0.457,1.19
0.632,0.413,1.248
0.605,0.365,1.271
0.599,0.354,1.286
0.59,0.337,1.284
0.586,0.323,1.262
0.563,0.273,1.25
0.554,0.253,1.238
0.534,0.23,1.222
0.517,0.216,1.175
0.462,0.2,1.15
0.429,0.193,1.098
0.373,0.194,1.073
0.355,0.197,1.028
0.325,0.203,1.01
0.319,0.211,0.982
0.308,0.215,0.973
0.307,0.215,0.958
0.304,0.205,0.952
0.305,0.2,0.937
0.315,0.19,0.935
0.323,0.188,0.938
0.339,0.186,0.937
0.347,0.189,0.945
0.365,0.187,0.951
0.372,0.187,0.959
0.388,0.184,0.964
0.394,0.176,0.97
0.397,0.157,0.971
0.392,0.142,0.956
0.375,0.122,0.943
0.368,0.116,0.912
0.368,0.114,0.895
0.372,0.114,0.871
0.378,0.122,0.865
0.383,0.128,0.857
