4/3/25 19:33:56, Microphone: -95, Temp =  77.98, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  0.00, GyroY =  0.42, GyroZ =  1.05, 
4/3/25 19:33:57, Microphone: 9, Temp =  78.03, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.70, GyroZ =  0.98, 
4/3/25 19:33:59, Microphone: -2, Temp =  78.01, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.77, GyroZ =  1.12, 
4/3/25 19:34:0, Microphone: 40, Temp =  78.01, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.07, GyroZ =  1.12, 
4/3/25 19:34:1, Microphone: 95, Temp =  78.07, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.98, GyroZ =  1.19, 
4/3/25 19:34:2, Microphone: -56, Temp =  78.05, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.77, GyroZ =  1.54, 
4/3/25 19:34:4, Microphone: -44, Temp =  78.04, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.98, GyroZ =  1.19, 
4/3/25 19:34:5, Microphone: 8, Temp =  78.08, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.70, GyroZ =  1.33, 
4/3/25 19:34:6, Microphone: 59, Temp =  78.08, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.84, GyroZ =  1.12, 
4/3/25 19:34:8, Microphone: -80, Temp =  78.12, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.12, 
4/3/25 19:34:9, Microphone: 3, Temp =  78.00, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.70, GyroZ =  1.47, 
4/3/25 19:34:10, Microphone: 8, Temp =  78.01, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.70, GyroZ =  1.19, 
4/3/25 19:34:11, Microphone: -53, Temp =  78.00, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.63, GyroZ =  1.26, 
4/3/25 19:34:13, Microphone: 17, Temp =  78.05, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.98, GyroZ =  1.33, 
4/3/25 19:34:14, Microphone: -118, Temp =  78.10, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.28, GyroZ =  0.91, 
4/3/25 19:34:15, Microphone: 58, Temp =  78.05, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.70, GyroZ =  1.40, 
4/3/25 19:34:16, Microphone: 39, Temp =  78.12, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.21, GyroY =  1.05, GyroZ =  1.33, 
4/3/25 19:34:18, Microphone: 24, Temp =  78.02, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.70, GyroZ =  0.77, 
4/3/25 19:34:19, Microphone: -55, Temp =  78.08, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.07, GyroY =  0.70, GyroZ =  1.19, 
4/3/25 19:34:20, Microphone: 22, Temp =  77.90, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.56, GyroZ =  1.19, 
4/3/25 19:34:21, Microphone: 13, Temp =  77.96, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.63, GyroZ =  1.26, 
4/3/25 19:34:23, Microphone: 22, Temp =  77.95, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.63, GyroZ =  1.19, 
4/3/25 19:34:24, Microphone: -108, Temp =  77.92, AccX =  0.04, AccY =  0.00, AccZ =  1.02, GyroX =  -0.14, GyroY =  0.84, GyroZ =  1.19, 
4/3/25 19:34:25, Microphone: -44, Temp =  77.98, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.77, GyroZ =  1.19, 
4/3/25 19:34:27, Microphone: -23, Temp =  77.97, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  1.19, GyroZ =  0.98, 
4/3/25 19:34:28, Microphone: -65, Temp =  77.96, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.77, GyroZ =  1.12, 
4/3/25 19:34:29, Microphone: 17, Temp =  78.00, AccX =  0.04, AccY =  0.00, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.91, GyroZ =  0.98, 
4/3/25 19:34:30, Microphone: -1, Temp =  78.00, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.56, GyroZ =  1.19, 
4/3/25 19:34:32, Microphone: 47, Temp =  77.89, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.14, GyroY =  0.56, GyroZ =  1.05, 
4/3/25 19:34:33, Microphone: 141, Temp =  77.97, AccX =  0.04, AccY =  0.01, AccZ =  1.03, GyroX =  -0.21, GyroY =  0.77, GyroZ =  0.98, 
4/3/25 19:34:34, Microphone: 60, Temp =  77.96, AccX =  0.25, AccY =  -0.49, AccZ =  0.92, GyroX =  -150.43, GyroY =  9.66, GyroZ =  -21.07, 
4/3/25 19:34:36, Microphone: -130, Temp =  78.01, AccX =  0.18, AccY =  -0.68, AccZ =  0.75, GyroX =  5.46, GyroY =  4.34, GyroZ =  5.46, 
